GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
entities,com.ucab.cmcapp.common.entities,UserType,23,0,0,0,11,0,6,0,6,0
entities,com.ucab.cmcapp.common.entities,Alerta,52,0,0,0,22,0,11,0,11,0
entities,com.ucab.cmcapp.common.entities,CoordenadaZonaSeguridad,52,0,0,0,22,0,11,0,11,0
entities,com.ucab.cmcapp.common.entities,TiempoControl,39,0,0,0,18,0,9,0,9,0
entities,com.ucab.cmcapp.common.entities,ZonaSeguridad,29,0,0,0,14,0,7,0,7,0
entities,com.ucab.cmcapp.common.entities,DistanciaAlejamiento,52,0,0,0,22,0,11,0,11,0
entities,com.ucab.cmcapp.common.entities,Posicion,63,0,0,0,26,0,13,0,13,0
entities,com.ucab.cmcapp.common.entities,PuntoControl,63,0,0,0,26,0,13,0,13,0
entities,com.ucab.cmcapp.common.entities,Usuario,85,0,0,0,34,0,17,0,17,0
entities,com.ucab.cmcapp.common,EntityFactory,84,0,0,0,19,0,19,0,19,0
