GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exceptions,com.ucab.cmcapp.common.exceptions,FindAllException,0,4,0,0,0,2,0,1,0,1
exceptions,com.ucab.cmcapp.common.exceptions,DbHandlerException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,JWTSetKeyException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,ConvertObjectToJsonException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,FindException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,DeleteException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,AuthenticationException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,JWTCreateException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,CupraException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,JWTVerifyException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,UpdateException,5,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,BaseException,14,4,0,0,6,2,3,1,3,1
exceptions,com.ucab.cmcapp.common.exceptions,FaultBean,33,0,0,0,14,0,7,0,7,0
exceptions,com.ucab.cmcapp.common.exceptions,BadIdException,11,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions,InsertException,4,0,0,0,2,0,1,0,1,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,JWTCreateExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,BadIdExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,AuthenticationExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,JWTSetKeyExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,DbHandlerExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,JWTVerifyExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,ConvertObjectToJsonExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,DeleteExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,InsertExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,FindExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,CupraExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,UpdateExceptionMapper,21,0,0,0,5,0,2,0,2,0
exceptions,com.ucab.cmcapp.common.exceptions.mappers,FindAllExceptionMapper,21,0,0,0,5,0,2,0,2,0
