GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
command,com.ucab.cmcapp.logic.commands.puntoControl.composite,CreatePuntoControlCommand,69,0,0,0,24,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.puntoControl.composite,DeletePuntoControlCommand,69,0,0,0,24,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.puntoControl.composite,UpdatePuntoControlCommand,69,0,0,0,24,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.puntoControl.composite,GetPuntoControlCommand,72,0,0,0,22,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.TiempoControl.composite,DeleteTiempoControlCommand,69,0,0,0,24,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.TiempoControl.composite,CreateTiempoControlCommand,69,0,0,0,24,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.TiempoControl.composite,GetAllTiempoControlCommand,39,0,0,0,15,0,4,0,4,0
command,com.ucab.cmcapp.logic.commands.TiempoControl.composite,GetTiempoControlCommand,72,0,0,0,22,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.TiempoControl.composite,UpdateTiempoControlCommand,69,0,0,0,24,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.UserType.atomic,GetUserTypeByIdCommand,64,0,0,0,15,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.UserType.atomic,DeleteUserTypeByIdCommand,100,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands.UserType.atomic,UpdateUserTypeByIdCommand,100,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands.UserType.atomic,AddUserTypeCommand,102,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands,Command,10,0,0,0,4,0,3,0,3,0
command,com.ucab.cmcapp.logic.commands,CommandFactory,693,0,0,0,131,0,131,0,131,0
command,com.ucab.cmcapp.logic.commands.DistanciaAlejamiento.atomic,GetDistanciaAlejamientoByUsuariosCommand,51,0,0,0,15,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.DistanciaAlejamiento.atomic,UpdateDistanciaByIdCommand,100,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands.DistanciaAlejamiento.atomic,AddDistanciaAlejamientoCommand,102,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands.DistanciaAlejamiento.atomic,DeleteDistanciaByIdCommand,100,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands.DistanciaAlejamiento.atomic,GetAllDistanciaAlejamientoByIdCommand,25,0,0,0,9,0,4,0,4,0
command,com.ucab.cmcapp.logic.commands.DistanciaAlejamiento.atomic,GetDistanciaAlejamientoByIdCommand,64,0,0,0,15,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.puntoControl.atomic,GetPuntoControlByIdCommand,64,0,0,0,15,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.puntoControl.atomic,UpdatePuntoControlByIdCommand,100,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands.puntoControl.atomic,AddPuntoControlCommand,102,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands.puntoControl.atomic,DeletePuntoControlByIdCommand,100,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands.CoordenadaZonaSeguridad.composite,GetCoordenadaZonaSeguridadCommand,72,0,0,0,22,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.CoordenadaZonaSeguridad.composite,CreateCoordenadaZonaSeguridadCommand,69,0,0,0,24,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.CoordenadaZonaSeguridad.composite,DeleteCoordenadaZonaSeguridadCommand,69,0,0,0,24,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.CoordenadaZonaSeguridad.composite,GetAllCoordenadaZonaSeguridadCommand,44,0,0,0,16,0,4,0,4,0
command,com.ucab.cmcapp.logic.commands.CoordenadaZonaSeguridad.composite,UpdateCoordenadaZonaSeguridadCommand,69,0,0,0,24,0,5,0,5,0
command,com.ucab.cmcapp.logic.commands.TiempoControl.atomic,UpdateTiempoControlByIdCommand,100,0,0,0,26,0,6,0,6,0
command,com.ucab.cmcapp.logic.commands.TiempoControl.atomic,GetAllTiempoControlByIdCommand,25,0,0,0,9,0,4,0,4,0
command,com.ucab.cmcapp.logic.commands.TiempoControl.atomic,AddTiempoControlCommand,102,0,0,0,26,0,6,0,6,0
