GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dao,com.ucab.cmcapp.persistence,DBHandler,172,0,20,0,56,0,20,0,10,0
dao,com.ucab.cmcapp.persistence,DaoFactory,45,0,0,0,9,0,9,0,9,0
dao,com.ucab.cmcapp.persistence.dao,UsuarioDao,107,0,0,0,22,0,4,0,4,0
dao,com.ucab.cmcapp.persistence.dao,AlertaDao,107,0,0,0,22,0,4,0,4,0
dao,com.ucab.cmcapp.persistence.dao,DistanciaAlejamientoDao,125,0,0,0,24,0,4,0,4,0
dao,com.ucab.cmcapp.persistence.dao,TiempoControlDao,21,0,0,0,7,0,3,0,3,0
dao,com.ucab.cmcapp.persistence.dao,CoordenadaZonaSeguridadDao,102,0,0,0,22,0,4,0,4,0
dao,com.ucab.cmcapp.persistence.dao,BaseDao,235,0,4,0,59,0,15,0,13,0
dao,com.ucab.cmcapp.persistence.dao,UserTypeDao,21,0,0,0,7,0,3,0,3,0
dao,com.ucab.cmcapp.persistence.dao,PosicionDao,21,0,0,0,7,0,3,0,3,0
dao,com.ucab.cmcapp.persistence.dao,PuntoControlDao,21,0,0,0,7,0,3,0,3,0
dao,com.ucab.cmcapp.persistence.dao,ZonaSeguridadDao,21,0,0,0,7,0,3,0,3,0
